ENVIRONMENT,TEMP_C,HUMIDITY_PCT,ECO2_PPM,LUX,CO_PPM,NH3_PPM,NO2_PPM,DT_SCORE
frozen_wasteland,-39.525,22.61,413,3453.9,0.231,0.072,0.001,0
classroom,22.665,42.23,772,639.1,0.379,0.079,0.018,2
indoor_kitchen_cooking,22.921,60.185,1563,316.2,6.174,2.667,0.078,1
industrial_exhaust,22.515,66.944,4120,25026.6,159.315,48.117,2.289,0
tundra_edge,0.171,63.635,455,4378.5,0.344,0.19,0.01,1
industrial_exhaust,19.792,63.594,1610,2984.4,80.833,63.213,7.566,0
dry_scrubland,29.193,18.91,440,64763.4,0.418,0.342,0.02,1
english_garden,21.932,49.517,468,35131.7,0.688,0.429,0.008,2
english_garden,15.282,61.718,433,10918.8,0.323,0.178,0.006,2
tundra_edge,2.336,56.237,446,18472.5,0.144,0.122,0.004,1
unventilated_room,22.585,49.516,3568,448.9,1.264,0.215,0.009,0
diesel_exhaust_zone,18.314,41.065,565,10632.2,6.25,0.71,3.683,0
ammonia_leak,15.715,48.041,725,275.1,1.022,226.564,0.032,0
volcanic_vent,75.678,66.685,6574,16029,112.999,3.453,2.272,0
tundra_edge,-0.815,58.965,424,10065,0.253,0.161,0.007,1
ammonia_leak,27.236,48.652,622,711.4,1.832,392.115,0.014,0
english_garden,15.427,50.596,414,14382.6,0.896,0.263,0.007,2
english_garden,21.586,62.899,485,16019.4,0.672,0.275,0.002,2
tundra_edge,-3.894,61.518,461,4378.5,0.292,0.188,0.002,1
indoor_kitchen_cooking,24.043,66.865,1080,322,2.064,0.936,0.112,1
greenhouse,26.287,73.532,639,17497.2,0.134,0.46,0.01,2
dry_scrubland,29.857,13.643,475,73913.4,0.432,0.366,0.011,1
diesel_exhaust_zone,23.745,62.731,672,14913.1,4.537,0.966,3.025,0
tundra_edge,3.721,50.563,469,9003.8,0.21,0.062,0.005,1
underground_cave,11.908,93.741,1109,28.5,1.318,1.495,0.026,1
dry_scrubland,30.313,10.425,454,74321.1,0.522,0.32,0.009,1
ammonia_leak,16.104,55.858,708,547.9,1.374,331.012,0.034,0
dry_scrubland,33.634,21.957,427,86418.5,0.769,0.432,0.01,1
ammonia_leak,29.916,55.391,594,124.7,1.162,367.422,0.046,0
unventilated_room,20.669,55.682,3165,251.1,0.82,0.374,0.015,0
urban_roadside,12.06,60.878,506,10147.2,18.589,0.634,0.374,1
volcanic_vent,40.858,71.622,3752,21329.9,108.411,0.648,4.159,0
greenhouse,27.987,70.048,896,46933.4,0.108,0.589,0.026,2
frozen_wasteland,-38.016,19.524,441,120.9,0.066,0.086,0.002,0
underground_cave,13.255,90.979,1361,2.5,2.646,1.859,0.008,1
greenhouse,20.267,61.266,939,17276,0.215,1.395,0.016,2
dry_scrubland,29.147,20.097,447,56325.4,0.732,0.48,0.016,1
indoor_kitchen_cooking,25.971,67.167,1343,342.4,9.17,1.533,0.067,1
urban_roadside,11.069,54.288,541,25188.6,15.551,0.449,0.181,1
urban_roadside,18.692,55.133,623,25024.9,12.321,0.839,0.424,1
classroom,21.621,37.624,796,435,0.402,0.022,0.016,2
tropical_rainforest,27.926,82.823,434,11487.3,0.38,0.63,0.002,2
industrial_exhaust,19.619,27.852,3121,2833.2,82.069,36.438,8.072,0
tropical_rainforest,28.965,92.939,434,10089.2,0.285,0.433,0.001,2
dry_scrubland,30.703,19.76,481,52214.8,0.263,0.045,0.018,1
volcanic_vent,76.254,63.463,8497,15759.3,55.046,3.667,4.124,0
industrial_exhaust,25.084,25.687,3455,16726,175.991,63.031,3.613,0
urban_roadside,13.173,49.631,587,13943.8,7.882,0.529,0.05,1
indoor_kitchen_cooking,28.87,60.103,1665,414.9,8.25,2.475,0.241,1
ammonia_leak,18.307,71.775,538,488.8,0.346,188.719,0.049,0
tundra_edge,-0.122,63.833,462,10232.4,0.326,0.117,0.004,1
frozen_wasteland,-35.806,14.471,431,1277,0.269,0.027,0.007,0
frozen_wasteland,-29.65,10.88,433,4907.8,0.199,0.029,0.008,0
tundra_edge,3.958,66.411,431,5618.4,0.285,0.082,0.006,1
tundra_edge,-1.965,53.239,473,14274.3,0.052,0.019,0.005,1
tundra_edge,1.676,66.605,473,13797.3,0.153,0.073,0.007,1
ammonia_leak,18.657,47.858,560,366.4,0.698,494.474,0.043,0
urban_roadside,22.433,66.984,464,23525.6,12.282,0.693,0.476,1
unventilated_room,24.205,57.285,3129,349.6,0.594,0.122,0.025,0
unventilated_room,25.697,46.518,4203,275.2,0.655,0.436,0.014,0
tundra_edge,2.052,64.905,455,3344.3,0.081,0.173,0.006,1
industrial_exhaust,24.967,22.175,1654,20450.1,189.876,18.938,3.502,0
greenhouse,23.027,56.145,742,26558.9,0.19,0.794,0.022,2
ammonia_leak,17.39,51.491,592,360,0.773,478.691,0.048,0
underground_cave,13.867,86.066,1009,47.2,2.743,1.421,0.011,1
indoor_kitchen_cooking,29.814,52.871,1681,390.3,10.24,1.005,0.099,1
unventilated_room,24.039,53.261,3034,142.3,0.974,0.33,0.018,0
english_garden,20.813,50.139,482,23419.1,0.826,0.373,0.004,2
tropical_rainforest,27.204,91.685,411,14941.7,0.067,0.15,0.004,2
urban_roadside,18.065,66.783,484,17274,13.524,0.899,0.06,1
indoor_kitchen_cooking,26.13,47.365,1073,444.9,8.702,1.029,0.255,1
tropical_rainforest,27.605,90.892,437,3546.4,0.347,0.338,0.004,2
dry_scrubland,34.005,21.441,433,64018.3,0.689,0.009,0.005,1
diesel_exhaust_zone,21.23,52.759,633,25415.9,2.961,0.566,2.587,0
tropical_rainforest,28.599,87.956,392,1550.6,0.223,0.272,0.004,2
classroom,22.493,41.141,674,792.2,0.4,0.26,0.013,2
frozen_wasteland,-24.735,31.411,408,80.8,0.002,0.078,0.003,0
indoor_kitchen_cooking,26.449,73.378,925,484.8,5.69,2.14,0.162,1
diesel_exhaust_zone,23.753,50.03,645,10137.4,2.826,0.335,2.765,0
ammonia_leak,24.086,73.068,447,187.5,1.696,455.785,0.016,0
dry_scrubland,37.47,14.837,475,67923.7,0.445,0.05,0.019,1
english_garden,21.482,62.535,401,26174.8,0.197,0.491,0.004,2
greenhouse,22.876,63.161,819,17518.8,0.267,1.149,0.028,2
english_garden,17.406,58.651,405,11186.4,0.806,0.23,0.002,2
unventilated_room,20.084,55.325,3695,194.8,1.122,0.115,0.03,0
dry_scrubland,33.469,15.425,424,51576.3,0.485,0.098,0.015,1
urban_roadside,21.621,43.433,464,19976.9,7.278,0.668,0.069,1
unventilated_room,24.902,59.784,3273,493.8,1.317,0.366,0.014,0
unventilated_room,21.28,47.05,4190,165.7,1.35,0.203,0.011,0
ammonia_leak,23.409,69.684,625,969.6,1.64,292.775,0.043,0
ammonia_leak,21.635,74.685,501,928,0.935,203.484,0.01,0
ammonia_leak,15.701,68.487,560,899.5,1.681,472.143,0.01,0
tropical_rainforest,28.51,90.351,435,3827,0.348,0.541,0.002,2
urban_roadside,13.122,45.809,644,9818.7,7.406,0.865,0.227,1
unventilated_room,25.61,43.991,4262,332.9,1.443,0.259,0.018,0
urban_roadside,16.278,40.804,545,9490.8,16.956,0.838,0.248,1
indoor_kitchen_cooking,23.645,69.251,1530,540,2.06,2.916,0.156,1
unventilated_room,24.639,49.973,4519,377.4,1.998,0.13,0.007,0
unventilated_room,21.626,51.46,3574,281.6,1.706,0.419,0.018,0
industrial_exhaust,27.42,40.781,4983,34542,193.717,67.498,2.015,0
unventilated_room,25.798,50.566,3738,185.5,0.649,0.105,0.019,0
greenhouse,22.853,58.472,761,26068.4,0.45,0.796,0.007,2
tundra_edge,4.239,59.736,404,1910.3,0.086,0.192,0.008,1
greenhouse,26.161,68.959,684,30749,0.603,0.687,0.019,2
industrial_exhaust,34.155,24.302,2884,32630.8,107.064,67.7,9.805,0
urban_roadside,18.597,45.699,616,6028.7,14.132,0.7,0.293,1
volcanic_vent,56.377,56.93,9411,12943.4,50.799,4.469,2.011,0
greenhouse,24.546,65.378,665,28345.2,0.771,1.402,0.008,2
industrial_exhaust,23.785,50.631,3834,29354.1,125.553,60.924,7.335,0
english_garden,19.284,46.724,431,39987,0.747,0.263,0.008,2
dry_scrubland,35.619,23.21,458,94411.3,0.624,0.077,0.005,1
greenhouse,24.952,59.378,673,41109.9,0.603,1.294,0.025,2
greenhouse,22.539,60.144,646,18476.7,0.251,0.387,0.011,2
english_garden,21.93,51.108,462,27508.2,0.766,0.474,0.003,2
greenhouse,21.499,72.997,657,15445.7,0.527,0.634,0.009,2
diesel_exhaust_zone,23.775,68.473,482,7611.8,7.453,0.562,4.308,0
unventilated_room,20.697,59.798,4401,353.2,1.386,0.2,0.01,0
underground_cave,8.029,83.312,1705,10.5,1.984,0.732,0.049,1
greenhouse,21.89,56.563,890,25901.2,0.75,0.518,0.009,2
underground_cave,12.544,89.573,2389,24.5,2.981,2.489,0.045,1
tropical_rainforest,24.468,87.674,436,5375,0.074,0.409,0.004,2
underground_cave,13.936,86.215,1493,27.3,1.001,2.213,0.009,1
unventilated_room,20.283,47.33,3431,425.9,1.854,0.35,0.008,0
ammonia_leak,19.186,73.341,678,976.7,1.534,245.954,0.017,0
urban_roadside,22.539,59.41,455,10790,5.572,0.764,0.088,1
urban_roadside,19.573,46.298,576,23799.6,21.827,0.203,0.087,1
ammonia_leak,27.858,41.504,690,117.4,1.699,285.45,0.016,0
frozen_wasteland,-36.242,36.036,437,2549.7,0.198,0.03,0.006,0
dry_scrubland,30.611,12.339,406,65962.6,0.152,0.031,0.01,1
indoor_kitchen_cooking,25.465,64.808,877,203.1,2.149,1.278,0.287,1
volcanic_vent,61.69,56.859,5931,14101,129.362,0.663,3.347,0
greenhouse,26.491,65.684,944,38867.9,0.764,0.918,0.006,2
diesel_exhaust_zone,20.466,49.597,691,27683.7,3.749,0.784,1.721,0
frozen_wasteland,-26.548,28.737,434,4510.8,0.061,0.093,0.006,0
ammonia_leak,22.804,72.266,541,898,0.797,303.128,0.025,0
diesel_exhaust_zone,17.334,41.914,571,26679.9,3.255,0.637,5.547,0
tropical_rainforest,25.103,76.364,415,6823,0.292,0.183,0.002,2
dry_scrubland,32.993,19.22,411,99293.7,0.185,0.289,0.006,1
tundra_edge,-1.977,55.216,447,14185.3,0.252,0.02,0.004,1
tropical_rainforest,24.96,75.558,436,9295.1,0.159,0.797,0.004,2
industrial_exhaust,21.82,60.424,4097,35108.3,122.572,79.075,6.694,0
diesel_exhaust_zone,18.573,50.93,568,11610.2,3.821,0.284,5.08,0
unventilated_room,24.173,43.59,3268,327.1,0.898,0.315,0.008,0
indoor_kitchen_cooking,29.631,56.823,1232,214.9,4.839,2.643,0.084,1
underground_cave,12.668,81.75,1739,19.8,1.588,2.477,0.007,1
underground_cave,11.595,75.056,1392,12.3,1.363,1.354,0.021,1
tundra_edge,-0.78,72.496,434,8324.6,0.301,0.145,0.004,1
greenhouse,23.373,74.786,735,21725.3,0.702,0.487,0.027,2
underground_cave,8.539,79.895,1394,8,2.294,1.658,0.006,1
english_garden,19.935,51.341,435,37878.4,0.816,0.137,0.002,2
tropical_rainforest,29.132,78.776,385,12774.8,0.264,0.711,0.002,2
ammonia_leak,17.346,42.468,731,717.9,1.448,281.097,0.022,0
diesel_exhaust_zone,26.146,56.082,604,11991,1.587,0.66,6.528,0
dry_scrubland,37.405,22.804,453,52242.7,0.469,0.491,0.005,1
greenhouse,22.11,60.925,633,34548,0.886,1.057,0.023,2
english_garden,15.175,62.685,456,37288.2,0.299,0.032,0.008,2
classroom,21.082,39.636,537,326.1,1.086,0.235,0.019,2
indoor_kitchen_cooking,28.55,57.32,1560,591.3,12.793,2.144,0.247,1
underground_cave,10.721,92.993,1831,36.5,1.481,1.873,0.013,1
diesel_exhaust_zone,16.437,62.356,480,29162.2,1.537,0.923,5.049,0
volcanic_vent,42.084,58.533,7404,24922,34.318,4.921,3.891,0
urban_roadside,21.541,42.289,497,8249.8,5.805,0.142,0.289,1
ammonia_leak,19.537,49.952,567,189.8,0.434,282.783,0.022,0
urban_roadside,20.762,58.151,606,7817.9,23.982,0.274,0.422,1
ammonia_leak,26.303,79.502,498,361.9,1.918,438.512,0.008,0
tropical_rainforest,25.055,87.133,439,13022,0.113,0.585,0.002,2
frozen_wasteland,-38.49,20.812,419,1343.4,0.166,0.056,0.004,0
frozen_wasteland,-19.839,19.965,408,1638.5,0.115,0.094,0.002,0
diesel_exhaust_zone,15.999,51.222,610,12825.4,1.961,0.998,3.654,0
volcanic_vent,77.757,69.279,6799,14320,124.015,1.364,0.533,0
tundra_edge,0.409,55.796,451,11550.3,0.194,0.048,0.004,1
english_garden,20.517,51.626,426,17409.6,0.866,0.235,0.009,2
english_garden,20.023,49.072,463,16447.5,0.54,0.453,0.009,2
ammonia_leak,28.571,45.87,748,505.7,1.703,208.933,0.035,0
dry_scrubland,31.582,23.416,460,55389.8,0.499,0.236,0.003,1
industrial_exhaust,15.986,50.913,4129,8493.5,76.166,68.752,8.909,0
frozen_wasteland,-24.066,25.456,447,4958,0.22,0.067,0.004,0
tundra_edge,0.087,61.383,475,19733.1,0.383,0.122,0.005,1
english_garden,18.164,57.673,488,10979,0.564,0.139,0.009,2
tundra_edge,-3.223,68.617,422,4635,0.413,0.135,0.006,1
classroom,21.09,36.217,591,592.8,0.998,0.139,0.013,2
urban_roadside,23.686,41.485,472,11900.6,23.706,0.289,0.464,1
diesel_exhaust_zone,25.132,66.923,563,17216.3,7.442,0.209,7.276,0
ammonia_leak,16.012,78.996,738,575.8,1.264,175.592,0.004,0
classroom,22.23,35.764,512,747.1,0.484,0.221,0.018,2
classroom,22.868,46.22,693,753.8,0.94,0.073,0.005,2
urban_roadside,15.613,49.027,460,8544.1,20.34,0.205,0.46,1
frozen_wasteland,-19.038,37.097,427,3605.9,0.103,0.06,0.009,0
indoor_kitchen_cooking,29.934,68.849,1587,446.5,2.302,0.995,0.074,1
dry_scrubland,33.503,19.612,468,85706.3,0.777,0,0.007,1
diesel_exhaust_zone,28.795,45.529,546,29659.5,6.74,0.953,3.421,0
tropical_rainforest,26.457,93.288,409,8781.4,0.37,0.78,0.002,2
greenhouse,23.073,70.587,760,24502.3,0.266,0.408,0.01,2
volcanic_vent,48.428,68.364,5489,25741.9,120.672,3.553,3.135,0
urban_roadside,22.198,60.891,623,26711.4,14.578,0.533,0.23,1
greenhouse,25.739,73.217,627,29665.1,0.938,0.855,0.006,2
classroom,22.46,36.225,574,303.2,0.511,0.059,0.007,2
diesel_exhaust_zone,28.081,45.245,549,23161.9,6.914,0.566,4.978,0
indoor_kitchen_cooking,28.038,72.642,1009,541.3,4.514,2.223,0.134,1
english_garden,16.333,46.939,443,21554.5,0.52,0.365,0.007,2
industrial_exhaust,16.374,36.521,2731,34424.9,58.219,97.182,2.421,0
greenhouse,25.512,64.772,675,17432.2,0.967,0.569,0.011,2
frozen_wasteland,-19.193,19.258,430,4149.3,0.239,0.081,0.007,0
indoor_kitchen_cooking,24.763,46.347,1191,542.7,5.714,0.847,0.295,1
urban_roadside,23.819,54.225,649,9000.4,11.533,0.238,0.238,1
classroom,22.967,35.042,571,366.7,1.48,0.11,0.015,2
urban_roadside,12.002,40.502,606,16407.2,17.348,0.824,0.497,1
tropical_rainforest,24.915,89.052,447,7600.8,0.437,0.627,0.002,2
tundra_edge,4.486,66.735,419,14859.7,0.414,0.189,0.007,1
volcanic_vent,50.444,54.531,9967,11153.8,42.429,1.197,2.071,0
greenhouse,25.045,65.257,911,39738.3,0.383,1.402,0.016,2
english_garden,21.162,59.024,428,8324.8,0.953,0.043,0.007,2
urban_roadside,16.492,47.583,635,13907,11.495,0.617,0.127,1
dry_scrubland,29.523,14.841,460,74800.3,0.307,0.275,0.005,1
tropical_rainforest,29.158,85.087,409,3093.9,0.093,0.528,0.003,2
volcanic_vent,57.513,89.437,9169,17312,108.927,3.598,0.962,0
english_garden,19.689,55.621,464,9679.7,0.472,0.359,0.002,2
classroom,19.176,48.91,601,612.6,1.465,0.247,0.018,2
industrial_exhaust,27.005,56.875,2364,8179.8,43.928,62.583,9.462,0
unventilated_room,22.494,48.901,3497,460.5,0.786,0.462,0.007,0
dry_scrubland,30.861,12.283,431,51078.7,0.12,0.373,0.01,1
urban_roadside,12.969,50.165,507,16185.2,12.804,0.877,0.455,1
ammonia_leak,27.173,53.231,438,749,1.752,171.043,0.032,0
underground_cave,9.498,77.494,1924,45.4,1.514,1.741,0.046,1
volcanic_vent,60.417,82.208,9755,24313.5,128.56,0.75,1.852,0
english_garden,18.945,56.262,419,39616.2,0.893,0.246,0.004,2
industrial_exhaust,27.58,25.526,1927,14112.9,90.103,77.068,6.141,0
ammonia_leak,18.949,41.43,442,871.3,1.927,54.688,0.013,0
urban_roadside,17.21,69.847,638,17028.9,19.176,0.295,0.269,1
dry_scrubland,30.184,22.437,425,62192.8,0.783,0.215,0.012,1
english_garden,19.792,61.857,478,15329.5,0.129,0.158,0.003,2
volcanic_vent,73.256,80.493,6665,28143.8,135.478,4.269,4.524,0
volcanic_vent,58.083,50.34,5218,26430.9,57.214,2.617,2.887,0
diesel_exhaust_zone,17.331,67.05,572,14686.9,2.517,0.899,2.291,0
dry_scrubland,30.933,13.186,430,82992.1,0.523,0.263,0.018,1
greenhouse,23.459,67.724,674,43649.3,0.692,0.422,0.024,2
tundra_edge,-2.928,70.582,440,9094.3,0.272,0.038,0.007,1
diesel_exhaust_zone,18.427,42.603,535,10958.9,6.612,0.852,7.494,0
industrial_exhaust,25.804,26.242,4185,6239,85.897,97.088,3.034,0
diesel_exhaust_zone,17.375,43.104,547,15922.6,4.728,0.65,2.268,0
tropical_rainforest,28.135,75.236,395,9134.1,0.196,0.652,0.002,2
volcanic_vent,61.925,31.547,6784,9672.7,55.547,2.514,1.451,0
urban_roadside,12.451,63.912,523,27027,5.228,0.833,0.375,1
classroom,22.687,42.002,580,622.1,0.77,0.046,0.009,2
unventilated_room,21.853,53.199,4450,429.5,1.393,0.405,0.019,0
tropical_rainforest,26.703,88.169,447,2884.9,0.274,0.577,0.001,2
underground_cave,12.772,89.511,1256,17.6,2.776,2.464,0.029,1
ammonia_leak,25.31,68.387,489,169.1,1.326,140.631,0.024,0
underground_cave,12.801,82.46,1004,24.1,2.561,1.753,0.014,1
frozen_wasteland,-30.087,34.275,414,2432.6,0.009,0.031,0.005,0
unventilated_room,22.718,57.414,4449,257.1,1.619,0.163,0.011,0
classroom,22.223,51.502,581,608.1,1.445,0.027,0.016,2
indoor_kitchen_cooking,26.711,74.851,1176,457.4,2.363,2.005,0.254,1
ammonia_leak,29.909,63.489,665,860.8,1.286,282.357,0.023,0
volcanic_vent,52.035,86.938,6876,4219.6,97.667,0.604,4.434,0
greenhouse,25.802,72.759,656,36066.8,0.882,0.563,0.022,2
underground_cave,8.474,77.22,1322,36,0.958,2.696,0.048,1
frozen_wasteland,-20.63,26.258,409,1537.3,0.115,0.051,0.006,0
industrial_exhaust,32.375,47.83,2137,9468.8,95.132,12.894,3.483,0
diesel_exhaust_zone,22.655,67.209,697,15092.6,4.055,0.814,2.023,0
classroom,19.988,50.068,836,480.9,0.57,0.079,0.006,2
urban_roadside,23.252,61.337,585,26743.3,15.412,0.582,0.496,1
english_garden,18.864,61.588,462,35574.6,0.62,0.352,0.001,2
frozen_wasteland,-36.948,39.502,431,3458.1,0.263,0.064,0.002,0
greenhouse,27.849,61.663,931,22371.5,0.759,1.254,0.023,2
ammonia_leak,23.301,78.935,725,990.1,0.026,450.062,0.026,0
diesel_exhaust_zone,18.532,56.72,587,23113.8,6.174,0.124,1.51,0
indoor_kitchen_cooking,26.431,74.864,1122,288.9,4.157,1.107,0.257,1
urban_roadside,19.237,58.382,697,13126.2,18.676,0.297,0.322,1
industrial_exhaust,25.099,63.865,3652,24840.5,189.781,67.735,2.927,0
frozen_wasteland,-27.661,19.493,447,936.5,0.078,0.007,0.004,0
greenhouse,24.799,74.628,879,38726.5,0.975,1.102,0.013,2
urban_roadside,24.904,54.718,655,19630.2,12.914,0.963,0.194,1
english_garden,21.346,54.151,432,30901.4,0.801,0.244,0.007,2
industrial_exhaust,20.245,24.484,3496,4203.8,56.269,22.915,6.078,0
volcanic_vent,52.865,46.451,4036,3434.3,23.946,2.921,1.052,0
classroom,19.828,46.996,647,449.2,1.025,0.124,0.011,2
greenhouse,21.538,66.642,852,38403,0.283,1.253,0.027,2
dry_scrubland,37.522,19.584,402,56805.1,0.283,0.086,0.008,1
dry_scrubland,30.367,20.812,413,52774.7,0.233,0.493,0.007,1
dry_scrubland,34.502,10.858,437,90795.5,0.381,0.183,0.017,1
indoor_kitchen_cooking,22.381,53.374,1007,419.2,2.02,0.601,0.295,1
frozen_wasteland,-26.795,29.048,442,744.7,0.061,0.093,0.008,0
industrial_exhaust,23.113,52.712,1938,21107.7,106.558,94.259,3.403,0
dry_scrubland,30.376,18.48,467,54297.7,0.757,0.239,0.006,1
volcanic_vent,52.726,34.342,8251,16049.3,56.381,3.269,4.669,0
volcanic_vent,60.492,35.793,3159,29401.2,97.307,4.322,1.864,0
volcanic_vent,58.968,89.141,7854,27606,63.785,3.945,4.687,0
urban_roadside,16.319,60.176,671,12015.3,8.585,0.823,0.222,1
classroom,21.054,41.261,862,753.6,0.979,0.105,0.01,2
classroom,20.308,45.008,547,580.1,0.753,0.116,0.012,2
urban_roadside,24.346,58.642,560,29944.7,21.898,0.498,0.435,1
greenhouse,27.982,72.633,951,17288.2,0.23,1.401,0.025,2
english_garden,19.608,50.49,457,29945.6,0.77,0.025,0.006,2
english_garden,20.146,51.65,404,25472.4,0.832,0.088,0.008,2
volcanic_vent,60.374,33.389,6064,13527.4,127.91,2.72,3.168,0
diesel_exhaust_zone,24.876,50.01,588,5784.4,6.009,0.917,5.242,0
tropical_rainforest,26.001,82.868,391,5854.9,0.208,0.663,0.002,2
dry_scrubland,30.557,11.126,425,66319.9,0.41,0.133,0.014,1
ammonia_leak,17.986,74.98,533,501.2,1.289,349.169,0.007,0
frozen_wasteland,-37.228,32.278,444,27.2,0.135,0.047,0.003,0
dry_scrubland,31.294,17.707,412,50814.5,0.493,0.359,0.012,1
indoor_kitchen_cooking,26.78,51.12,963,534.2,14.457,1.896,0.229,1
greenhouse,22.002,65.873,798,40732.7,0.421,1.39,0.011,2
english_garden,21.319,59.286,450,36814.6,0.82,0.339,0.007,2
classroom,21.351,53.749,584,536.6,0.341,0.047,0.008,2
english_garden,21.391,54.229,412,34628.6,0.549,0.358,0.006,2
classroom,20.429,35.732,795,424.3,0.401,0.028,0.016,2
unventilated_room,25.931,58.716,4692,424,1.164,0.413,0.012,0
unventilated_room,24.321,50.465,3872,110.2,1.819,0.477,0.011,0
ammonia_leak,25.899,77.928,699,267.7,1.983,123.545,0.043,0
greenhouse,27.173,58.415,979,28634.7,0.411,1.164,0.029,2
greenhouse,21.283,55.892,972,46915.5,0.123,0.992,0.025,2
unventilated_room,21.268,59.916,3199,201.8,1.92,0.138,0.026,0
tropical_rainforest,29.141,77.847,396,2754.8,0.109,0.171,0.004,2
ammonia_leak,28.414,67.853,510,761.7,1.6,178.645,0.045,0
underground_cave,9.77,93.849,2023,2.7,2.257,0.92,0.006,1
english_garden,18.495,58.092,468,16234.5,0.839,0.483,0.007,2
urban_roadside,12.949,45.36,567,27369,14.991,0.529,0.239,1
dry_scrubland,36.379,16.659,478,55913.5,0.307,0.378,0.005,1
greenhouse,22.02,72.542,941,46738.5,0.978,1.363,0.016,2
diesel_exhaust_zone,25.813,54.633,518,25908.6,7.659,0.389,7.944,0
underground_cave,11.085,75.775,1040,45.6,2.481,1.885,0.01,1
volcanic_vent,55.329,71.195,4449,29691.8,114.054,1.087,2.238,0
frozen_wasteland,-17.462,37.812,431,4425,0.187,0.032,0.005,0
classroom,20.493,53.036,790,570.4,0.685,0.192,0.011,2
classroom,20.978,51.665,893,422.7,0.571,0.194,0.008,2
dry_scrubland,32.11,17.877,486,97974.2,0.58,0.199,0.004,1
dry_scrubland,29.404,11.303,432,73781.4,0.774,0.36,0.015,1
dry_scrubland,35.74,13.126,404,78246.7,0.162,0.28,0.019,1
classroom,21.85,36.459,581,403.4,1.069,0.005,0.019,2
tundra_edge,0.217,55.068,414,9386.2,0.372,0.196,0.008,1
ammonia_leak,16.194,78.299,540,514.5,1.738,279.021,0.042,0
tropical_rainforest,29.048,80.719,439,12316.3,0.285,0.123,0.002,2
industrial_exhaust,23.834,40.683,3510,10597.6,154.771,46.739,4.168,0
ammonia_leak,29.868,75.407,720,142.5,1.729,155.724,0.015,0
classroom,19.745,42.654,606,653.7,0.721,0.242,0.018,2
ammonia_leak,26.458,53.032,700,129.6,1.389,160.297,0.022,0
unventilated_room,23.762,45.475,4117,291.4,1.228,0.22,0.029,0
ammonia_leak,16.586,55.081,578,933,1.266,191.085,0.035,0
underground_cave,8.64,90.573,1168,6.4,1.993,2.811,0.016,1
industrial_exhaust,23.548,59.318,3248,36502.8,129.035,75.332,4.025,0
english_garden,15.607,58.385,418,12499.6,0.391,0.124,0.003,2
diesel_exhaust_zone,26.029,53.175,538,16654.9,2.027,0.909,1.858,0
urban_roadside,14.98,56.469,622,28456.7,17.195,0.808,0.489,1
tundra_edge,1.672,68.746,407,7207.4,0.083,0.014,0.006,1
ammonia_leak,15.697,61.431,494,415.1,0.572,129.407,0.046,0
ammonia_leak,15.31,61.145,491,823.9,0.437,312.447,0.033,0
industrial_exhaust,22.092,32.863,2892,18065.3,108.229,52.823,3.027,0
tropical_rainforest,26.032,86.899,449,2718.7,0.427,0.753,0.002,2
urban_roadside,11.908,61.021,698,17331.4,15.359,0.178,0.453,1
dry_scrubland,36.488,20.376,445,73482.6,0.63,0.417,0.016,1
classroom,21.697,52.733,827,480.5,0.365,0.188,0.014,2
ammonia_leak,16.621,66.024,701,737.6,0.289,207.526,0.023,0
diesel_exhaust_zone,26.964,50.196,623,5659.5,5.559,0.352,2.294,0
unventilated_room,21.327,43.526,4337,298.5,1.969,0.255,0.005,0
classroom,22.29,50.292,823,775.5,0.591,0.236,0.015,2
diesel_exhaust_zone,27.35,47.369,675,20863.7,4.808,0.377,6.247,0
tropical_rainforest,24.88,77.984,417,6459.8,0.31,0.276,0.004,2
frozen_wasteland,-25.475,28.984,441,4598,0.075,0.1,0.003,0
dry_scrubland,29.387,19.861,442,57312.6,0.463,0.155,0.011,1
tundra_edge,4.876,74.079,436,5149.9,0.287,0.03,0.004,1
english_garden,19.828,53.336,438,25513,0.527,0.077,0.007,2
underground_cave,13.704,84.187,1317,6.8,2.619,1.675,0.013,1
tundra_edge,-2.719,54.492,427,15979.5,0.29,0.177,0.007,1
indoor_kitchen_cooking,28.234,64.315,1798,372.4,4.159,2.401,0.275,1
english_garden,20.347,52.319,440,26249,0.275,0.277,0.002,2
indoor_kitchen_cooking,24.699,57.023,1083,218.1,6.621,1.139,0.133,1
diesel_exhaust_zone,18.998,53.85,669,26083.3,1.292,0.272,7.152,0
tropical_rainforest,25.957,84.218,440,8952.7,0.456,0.34,0.004,2
frozen_wasteland,-31.128,24.346,444,2335.2,0.158,0.014,0.005,0
volcanic_vent,68.185,56.427,7581,1446.7,15.8,4.232,2.011,0
classroom,21.331,54.764,746,710.7,0.531,0.051,0.011,2
english_garden,21.431,64.85,487,12060.4,0.879,0.125,0.007,2
dry_scrubland,34.115,18.02,403,80435.7,0.711,0.373,0.005,1
greenhouse,26.847,65.064,740,39717.9,0.452,0.282,0.021,2
classroom,19.162,50,804,529,0.396,0.165,0.007,2
english_garden,15.842,60.144,417,39499.8,0.975,0.404,0.002,2
volcanic_vent,71.434,75.176,7510,5732.8,140.647,4.696,1.141,0
diesel_exhaust_zone,26.7,61.741,464,14865.3,2.078,0.748,4.154,0
unventilated_room,25.601,43.591,3526,483.1,1.63,0.135,0.013,0
